College Code,College Name,District,Pincode
3,School of Architecture and Planning Anna University Chennai,Chennai  433 District,600025
2005,Government College of Technology Autonomous Thadagam Road Coimbatore,Coimbatore District,641013
2369,Government College of Engineering Chettikkarai Post,Dharmapuri District,635704
2603,Government College of Engineering Autonomous Bargur,Krishnagiri District,635104
2615,Government College of Engineering Autonomous Karuppur,Salem District,636011
2709,Government Engineering College Formerly Institute of Road and Transport,Erode District,638316
3464,Government College of Engineering Gandarvakottai Road Sengipatti Thanjavur,Thanjavur District,613402
3465,Government College of Engineering Srirangam Sethurappatti Tiruchirappalli,Tiruchirappalli District,620012
5009,Government College of Engineering Melachokkanathapuram Bodinayakkanur,Theni District,625582
5901,Alagappa Chettair Government College of Engineering and Technology,Sivagangai District,630004
2006,GOVERNMENT AIDED COLLEGES PSG College of Technology Autonomous Peelamedu,Coimbatore District,641004
2007,Coimbatore Institute of Technology Autonomous Civil Aerodrome Post,Coimbatore District,641014
5008,Thiagarajar College of Engineering Autonomous Tirupparankundram Madurai,Madurai District,625015
1321,CECRI AND CIPET Central Institute of Petrochemicals Engineering and Technology Formerly Central,65 CECRI AND CIPET Central Institute of Petrochemicals Engineering and Technology (Formerly Central District,600032
2343,Indian Institute of Handloom Technology Foulke's Compound Thillai Nagar,Salem District,636001
5012,Central Electrochemical Research Institute CECRI Karaikudi,Sivagangai District,630006
1013,CONSTITUENT COLLEGES University College of Engineering Villupuram Kakuppam,Villupuram District,605103
1014,University College of Engineering Tindivanam Melpakkam Tindivanam,Villupuram District,604001
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni,Thiruvannamalai District,632326
1026,Chennai-Bangalore Highway Karaipettai Village & Post University College of Engineering Kancheepuram Ponnerikarai Campus NH4,Kancheepuram District,631552
2025,NavavoorBharathiyar University Post Somayampalayam Anna University Regional Campus - Coimbatore Maruthamalai Main Road,Coimbatore District,641046
3011,University College of Engineering Tiruchirappalli Bharathidasan Institute of,Tiruchirappalli District,620024
3016,University College of Engineering Ariyalur Kathankudikadu Village Thelur Post,Ariyalur District,621704
3018,-,Nagappattinam District,610204
3019,University College of Engineering Panruti Chennai-Kumbakonam Highway,Cuddalore District,607106
3021,University College of Engineering Pattukkottai ECR Road Rajamadam,Thanjavur District,614701
4020,Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai,Tirunelveli District,627007
4023,University College of Engineering Nagercoil Nagercoil Industrial Estate Konam,Kanyakumari District,629004
4024,University V.O.C. College of Engineering Thoothukudi Near V.O.C. College,Thoothukudi District,628008
5010,Anna University Regional Campus - Madurai Kanyakumari National Highway,Madurai District,625019
5017,University College of Engineering Ramanathapuram Pullangudi,Ramanathapuram District,623513
5022,University College of Engineering Dindigul MangaraiPirivu Reddiyarchathiram,Dindigul District,624622
1101,SELF FINANCING ENGINEERING COLLEGES Aalim Muhammed Salegh College of Engineering Muthapudupet Avadi IAF,Avadi IAF District,600055
1106,Jaya Engineering College Thirunindravur Chennai,Chennai  10 District,602024
1107,Jaya Institute of Technology Kanchipadi Post Thiruvallur-TiruttaniNH Road,Thiruvallur District,631204
1110,Prathyusha Engineering college Autonomous Aranvoyalkuppam Thiruvallur,Thiruvallur District,602025
1112,R M D Engineering College Autonomous Kavaraipettai Gummidipoondi,Thiruvallur District,601206
1113,R M K Engineering College Autonomous Kavaraipettai Gummidipoondi,Thiruvallur District,601206
1114,S A Engineering College Autonomous Thiruverkadu Chennai,Chennai  15 District,600077
1121,Sri Venkateswara Institute of Science and Technology Kozhundalur Thiruvallur,Thiruvallur District,631203
1123,Gojan School of Business and Technology Alamathi Chennai,Chennai  21 District,600062
1124,SAMS College of Engineering and Technology Panappakkam Chennai-Tirupathi,Thiruvallur District,601102
1125,PMR Engineering College Adayalampattu Chennai- -,Chennai- - District,600095
1126,J.N.N Institute of Engineering Autonomous Ushaa Garden Kannigaipair Village,Thiruvallur District,601102
1130,-,Chengalpattu District,603302
1132,- Rajalakshmi School of Architecture Thandalam Sriperumpudur Taluk,Kancheepuram District,602105
1133,AnnaiVeilankannis College of Engineering Gandhi Road Nedungundram Chennai,Chennai District,600048
1135,Aalim Muhammed Salegh Academy of Architecture Muthapudupet Avadi IAF,Avadi IAF District,600055
1138,-,Chengalpattu District,600097
1140,Jeppiaar Institute of Technology kunnam,Kancheepuram District,631604
1144,R V S Padmavathy School of Architecture Senthil Pakkam Village Roshanagaram,Thiruvallur District,601202
1145,- Anand School of Architecture Old Mahalibalipuram Road OMR Kazhipattur,Chengalpattu District,603103
1146,MisrimalNavajeeMunoth Jain School of Architecture Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1147,- MMES Academy of Architecture C.Abdul Hakeem College Campus Hakeem,Ranipet District,632509
1149,St. Josephs Institute of Technology Autonomous Jeppiaar Nagar Old,Old District,600119
1150,Sri Jayaram Institute of Engineering and Technology N Elavur 58N Natham,Thiruvallur District,601201
1152,Chennai-Thirupathi Highway Near Periyapalayam Amman Temple Chennai,Chennai 414 District,601102
1153,- Jawahar School of Architecture Planning and Design No..K K,No.54.K K District,600093
1202,D M I College of Engineering Palanchoor Nazrethpet Chennai,Chennai  30 District,602103
1207,Kings Engineering College Sriperumpudur Taluk,Kancheepuram District,602105
1209,Pallavan College of Engineering Thimmasamudram,Kancheepuram District,631502
1210,Panimalar Engineering College Autonomous Nazarethpet Poonamallee,Poonamallee District,602123
1211,Rajalakshmi Engineering College Autonomous Thandalam Sriperumpudur,Kancheepuram District,602105
1212,Rajiv Gandhi College of Engineering Nemili Sriperumpudur Taluk Kancheepuram,Kancheepuram District,602105
1213,S K R Engineering College Poonamallee Chennai,Chennai  36 District,600123
1216,Saveetha Engineering College Autonomous Thandalam Sriperumpudur Taluk,Kancheepuram District,602105
1217,Sree Sastha Institute of Engineering and Technology Chembarambakkam,Chembarambakkam District,600103
1218,Sri Muthukumaran Institute of Technology Near Mangadu Chennai,Chennai  39 District,600069
1219,Bengaluru High Road Pennalur Irungattukottai S.O. Sriperumbudur Taluk Sri Venkateswara College of Engineering Autonomous Post Bag No. Chennai-,Kancheepuram District,602105
1221,- Jaya College of Engineering and Technology Parivakkam Poonamallee Chennai,Chennai District,600056
1222,P B College of Engineering Irungkattukottai Sriperumpudur Taluk Kancheepuram,Kancheepuram District,602117
1225,Loyola Institute of Technology Mevaloorkuppam B Village Palanchoor,Palanchoor District,600123
1229,Indira Institute of Engineering and Technology VGR Gardens Pandur Thiruvallur,Thiruvallur District,631203
1230,Apollo Engineering College Mevaloorkuppam Valarpuram Post Sriperumpudur,Kancheepuram District,602105
1232,- A R M College of Engineering and Technology Sattamangalam Maraimalainagar,Chengalpattu District,603209
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura,Kancheepuram District,631605
1238,G R T Institute of Engineering and Technology GRT Mahalakshmi Nagar Chennai-,Thiruvallur District,631209
1241,T J S Engineering College Peruvoyal Near Kavaraipettai Gummidipoondi Taluk,Thiruvallur District,601206
1243,Madha Institute of Engineering and Technology Erandamkattalai Village,Erandamkattalai Village District,602101
1301,Mohammed Sathak A J College of Engineering Old Mahabalipuram Road OMR,Chengalpattu District,603103
1303,Anand Institute of Higher Technology Old Mahabalipuram Road OMR,Chengalpattu District,603103
1304,Easwari Engineering College Autonomous Ramapuram Chennai,Chennai  54 District,600089
1306,Jeppiaar Engineering College Old Mahabalipuram Road OMR Chennai,Chennai  55 District,600119
1309,Meenakshi Sundararajan Engineering College Kodambakkam Chennai,Chennai  57 District,600024
1310,MisrimalNavajeeMunoth Jain Engineering College Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1311,K C G College of Technology Autonomous Karappakkam Chennai,Chennai  59 District,600096
1313,- Shree Motilal Kanhaiyalal SMK Fomra Institute of Technology Old,Chengalpattu District,603103
1315,Sri Sivasubramaniya Nadar College of Engineering Autonomous Kalavakkam Old,Chengalpattu District,603110
1316,Agni College of Technology Old Mahabalipuram Road OMR Thalambur Village,Chengalpattu District,603103
1318,T.J Institute of Technology Karapakkam Chennai -,63 District,600097
1319,Thangavelu Engineering College Karappakkam Chennai,Chennai  64 District,600097
1322,Dhanalakshmi Srinivasan College of Engineering and Technology East Coast Road,East Coast Road District,603104
1324,Sri Sai Ram Institute of Technology Autonomous West Tambaram Chennai,Chennai District,600044
1325,St. Joseph College of Engineering Trinity Campus Nemili Sriperumpudur Taluk,Kancheepuram District,602105
1333,- Vi Institute of Technology Sirunkundram Village & Post,Chengalpattu District,603108
1334,ARS College of Engineering Maraimalai Nagar Post -,Chengalpattu District,603209
1335,Sri Krishna Institute of Technology Panapakkam Padappai Chennai,Chennai  69 District,601301
1399,Chennai Institute of Technology Autonomous Puduper Village Nandambakkam,Nandambakkam District,600069
1400,Mohamed Sathak A.J. Academy of Architecture No. Old Mahabalipuram Road,Chengalpattu District,603103
1401,Adhiparasakthi Engineering College Melmaruvathur,Chengalpattu District,603319
1402,Annai Teresa College of Engineering Thirunavalur,Kallakkurichi District,607204
1405,Dhanalakshmi College of Engineering Manimangalam Chennai,Chennai  73 District,601301
1407,G K M College of Engineering and Technology Alappakkam-Mappedu Road,Alappakkam-Mappedu Road District,600063
1408,I F E T College of Engineering Autonomous Gangarampalayam Villupuram,Villupuram District,605108
1409,KarpagaVinayaga College of Engineering and Technology Palayanoor Post,Chengalpattu District,603308
1411,Madha Engineering College Kundrathur Chennai,Chennai  77 District,600069
1412,Mailam Engineering College Mailam,Villupuram District,604304
1413,Sri Venkateswaraa College of Technology Sirukulathur Vadakkal Village Pondur,Kancheepuram District,602105
1414,Prince Shri Venkateshwara Padmavathy Engineering College,80 Prince Shri Venkateshwara Padmavathy Engineering College District,600048
1415,T S M Jain College of Technology Melur Village,Kallakurichi District,606201
1416,Jaya Sakthi Engineering College Thirunindravur Chennai,Chennai  82 District,602024
1419,Sri Sai Ram Enginering College Autonomous West Tambaram Chennai,Chennai  83 District,600044
1420,Tagore Engineering College Rathnamangalam Vandalur Post Chennai,Chennai  84 District,600048
1421,V R S College of Engineering and Technology Arasur,Villupuram District,607107
1422,SRM Valliammai Engineering College Autonomous Kattankulathur Chennai,Chennai District,603203
1424,Dhaanish Ahmed College of Engineering Padappai Chennai,Chennai  88 District,601301
1426,Sri Ramanujar Engineering College Vandalur Kolappakkam Chennai,Chennai  89 District,600127
1427,Sri Krishna Engineering College Panappakkam Padappai Chennai,Chennai  90 District,601301
1428,E S Engineering College Chennai Trunk Road Ayyankoilpattu,Villupuram District,605602
1430,Maha Bharathi Engineering College A Vasudevanur Chinnasalem Kallakurichi,Kallakurichi District,606201
1431,New Prince Shri Bhavani College of Engineering and Technology Autonomous,92 New Prince Shri Bhavani College of Engineering and Technology(Autonomous) District,600073
1432,Rajalakshmi Institute of Technology Autonomous Irulapalayam Kuthampakkam,Kancheepuram District,600124
1434,Surya Group of Institutions GST Road Vikravandi Village,Villupuram District,605652
1436,A R Engineering College Vadakuchipalayam Kappiyampuliyur Post Villupuram,Villupuram District,605601
1437,Rrase College of Engineering Padappai Kancheepuram,Kancheepuram  96 District,601301
1438,Sree Krishna College of Engineering Anaicut Post Unnai Village,Vellore District,632101
1441,A K T Memorial College of Engineering and Technology Neelamangalam Village,Kallakurichi District,606202
1442,Prince Dr. K Vasudevan College of Engineering and Technology Medavakkam-,Medavakkam- District,600127
1444,Chendu College of Engineering and Technology ZaminEndathur Village,Chengalpattu District,600127
1445,Sri Rangapoopathi College of Engineering Alampoondi Village Gingee Villupuram,Villupuram District,604151
1449,Saraswathy College of Engineering and Technology NH- Main Road Olakkur,Villupuram District,604307
1450,Loyola ICAM College of Engineering and Technology Loyola College Campus,Loyola College Campus District,600034
1452,PERI Institute of Technology Mannivakkam West Tambaram Chennai,Chennai  104 District,600048
1501,Adhiparasakthi College of Engineering Kalavai,Ranipet District,632506
1503,Arulmigu Meenakshi Amman College of Engineering,Thiruvannamalai District,604410
1504,Arunai Engineering College Mathur,Thiruvannamalai District,606603
1505,C Abdul Hakeem College of Engineering and Technology Melvisharam Ranipet,Ranipet District,632509
1507,Ganadipathy Tulsi’s Jain Engineering College Kaniyambadi,Vellore District,632102
1509,Meenakshi College of Engineering Vembuliamman Koil Street K K Nagar West,K K Nagar (West) District,600078
1510,Priyadarshini Engineering College Vaniyambadi Post,Thiruppattur District,635751
1511,Ranipettai Engineering College Thenkadappanthangal,Ranipet District,632513
1512,S K P Engineering College,Thiruvannamalai District,606611
1513,Sri Balaji Chockalingam Engineering College Arni,Thiruvannamalai District,632317
1517,Thirumalai Engineering College Kilambi,Kancheepuram District,631551
1518,Thiruvalluvar College of Engineering and Technology Vandavasi Thiruvannamalai,Thiruvannamalai District,604505
1519,Bharathidasan Engineering College Nattrampalli Post,Thiruppathur District,635854
1520,Kingston Engineering College Chithoor Main Road Christianpet Village Katpadi,Vellore District,632059
1523,Global Institute of Engineering and Technology Bangalore-Chennai Highway,Ranipet District,632506
1524,Annamalaiar College of Engineering Modaiyur Village Polur Taluk,Thiruvannamalai District,606902
1525,Podhigai College of Engineering and Technology Vinayakapuram Adiyur Post,Tirupattur District,635601
1526,Sri Krishna College of Engineering Tiruttani High Road Arakkonam Ranipet,Ranipet District,631003
1529,Oxford College of Engineering Venmani Village Karaipoondi Post Polur Taluk,Thiruvannamalai District,606803
1533,-,- District,600029
1605,Idhaya Engineering College for Women Chinnasalem,Kallakkurichi District,606201
2302,Sri Shanmugha College of Engineering and Technology Morur Bit II Village Salem,Salem District,637304
2314,Muthayammal College of Engineering Kakkaveri Post,Namakkal District,637408
2327,N S N College of Engineering and Technology Karur-Madurai NH7 Manalmedu,Karur District,639003
2328,K S R Institute for Engineering and Technology Autonomous Thokkavadi,Namakkal District,637215
2329,Rathinam Technical Campus Pollachi Road Autonomous Eachanari Coimbatore,Coimbatore District,641021
2332,Aishwarya College of Engineering and Technology ErrattaikaraduParuvachi Post,Erode District,638312
2338,Asian College of Engineering and Technology Asian College Road,Coimbatore District,641110
2341,Ganesh College of Engineering Attur Main Road Mettupatti,Salem District,636111
2342,Sri Ranganathar Institute of Engineering and Technology Thudialur-Kovilpalay,Coimbatore District,641110
2344,Kongu School of Architecture Kongu Engineering College Campus Perundurai,Erode District,638052
2345,Dhirajlal Gandhi College of Technology Sikkanampatty Opp. to Airport Omalur,Salem District,636309
2346,- Shree Sathyam College of Engineering and Technology NH- Manjakkalpatti,Salem District,637301
2347,- AVS College of Technology Attur Main Road Near AVS College of Arts & Science,Salem District,636106
2348,San Academy of Architecture ACC Pirivu NavakaraiPost Walayar Coimbatore,Coimbatore District,641105
2349,Dhaanish Ahmed Institute of Technology Pichanur Post Near K G Chavadi,Coimbatore District,641105
2356,Arulmurugan College of Engineering Karvazhi Road Thennilai Post,Karur District,639206
2357,V S B College of Engineering Technical Campus EalurPirivu Solavampalayam Post,Coimbatore District,642109
2360,Suguna College of Engineering Kalappatti Road Civil Aerodrome Post,Coimbatore District,641014
2361,Sasi Creative School of Archiecture No./2B Roja Raja Garden Pollachi Main,Coimbatore District,641032
2364,VellimalaiPattinam Narasipuram Post Thondamuthur Via School of Architecture Coimbatore Institute of Engineering and Technology,Coimbatore District,641109
2365,- Nehru School of Architecture No.-D Palakkad Main,Coimbatore District,641008
2367,Arjun College of Technology Chettiyakkapalayam Kinathukadavu Coimbatore,Coimbatore District,642120
2368,- Vishnu Lakshmi College of Engineering and Technology Vellalore Post,Coimbatore District,641111
2372,Park Institute of Architecture Avinashi Road NH- Kaniyur,Coimbatore District,641659
2373,Hindusthan School of Architecture Othakkalmandabam Post,Coimbatore District,641032
2376,Rathinam School of Architecture RathinamTechzone campus Pollachi Road,Pollachi Road District,641021
2377,PSG Institute of Technology and Applied Research Avinashi Road Neelambur,Neelambur District,641062
2601,Adhiyamaan College of Engineering Autonomous Hosur,Krishnagiri District,635109
2602,AnnaiMathammal Sheela Engineering College Erumapatty Post,Namakkal District,637013
2606,Jayam College of Engineering and Technology Nallanur Post,Dharmapuri District,636813
2607,K S Rangasamy College of Technology Autonomous Tiruchengode Namakkal,Namakkal District,637215
2608,M Kumarasamy College of Engineering Autonomous Thalavapalayam Karur,Karur District,639113
2609,Mahendra Engineering College Autonomous Mahendhirapuri Mallasamudram,Namakkal District,637503
2610,Muthayammal Engineering College Autonomous Rasipuram,Namakkal District,637408
2611,Paavai Engineering College Autonomous NH- Pachal Post,Namakkal District,637018
2612,P G P College of Engineering and Technology Paramathi Post,Namakkal District,637207
2613,K S R College of Engineering Autonomous Tiruchengode,Namakkal District,637215
2614,S S M College of Engineering Komarapalayam,Namakkal District,638183
2616,Sapthagiri College of Engineering Periyanahalli Post,Dharmapuri District,635205
2617,Sengunthar Engineering College Autonomous Tiruchengode,Namakkal District,637205
2618,- Sona College of Technology Autonomous Suramangalam Post,Salem District,636005
2620,Sathinaickenpalayam Elayampalayam Village Kumaramangalam Namakkal Vivekanandha College of Engineering for Women Autonomous,Namakkal 164 Vivekanandha College of Engineering for Women (Autonomous) District,637205
2621,Er. Perumal Manimekalai College of Engineering Autonomous NearKoneripalli,Krishnagiri District,635117
2622,V S B Engineering College Autonomous Kovai Road,Karur District,639111
2623,Mahendra College of Engineering Attur Road Minnampalli Valapady Salem,Salem District,636106
2624,Gnanamani College of Technology Autonomous Pachal Post,Namakkal District,637018
2625,The Kavery Engineering College M Kalipatti Post Mecheri,Salem District,634456
2627,Selvam College of Technology Pappanaickenpatti Post,Namakkal District,637003
2628,Paavai College of Engineering Autonomous NH- Pachal Post,Namakkal District,637018
2630,Chettinad College of Engineering and Technology NH- Trichy Main Road,Karur District,639114
2632,Mahendra Institute of Technology Autonomous Mahendhirapuri,Namakkal District,637503
2634,Pallakapalayam Sankari West Post Komarapalayam Taluk -,Namakkal District,637303
2635,CMS College of Engineering Emapuram Post,Namakkal District,637003
2636,A V S Engineering College Military Road Ammapet,Salem District,636003
2638,Mahendra Engineering College for Women Kumaramangalam,Namakkal District,637205
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,Salem District,636305
2640,Jayalakshmi Institute of Technology Thoppur,Dharmapuri District,635352
2641,VaruvanVadivelan Institute of Technology Nallanahalli,Dharmapuri District,636701
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,Krishnagiri District,635108
2643,Bharathiyar Institute of Engineering for Women Deviayakurichi Attur Taluk,Salem District,636112
2646,Tagore Institute of Engineering and Technology Deviyakurichi Attur Taluk Salem,Salem District,636112
2647,J K K Nataraja College of Engineering and Technology Komarapalayam Amani,Namakkal District,638183
2648,Annapoorana Engineering College Autonomous Sankari Main Road NH-,Salem District,636308
2650,Christ The King Engineering College Cecilia Gardens Chikkarampalayam Village,Coimbatore District,641104
2651,Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur,Tiruppur District,638660
2652,AL-Ameen Engineering College Autonomous KarundevanPalayam,Erode District,638104
2653,Knowledge Institute of Technology Autonomous KIOT Campus Kakapalayam,Salem District,637504
2656,Builders Engineering college Nathakadaiyur Erode Road Palayakottai Village,Tiruppur District,638108
2658,V S A Group of Institutions NH- Uthamasola Puram Post,Salem District,636010
2659,- Salem College of Engineering and Technology Salem-Attur Main Road NH-,Salem District,636111
2661,Vivekanandha College of Technology for Women Sathinaickenpalayam,Namakkal District,637205
2665,Mahendra Institute of Engineering and Technology Mahendrapuri,Namakkal District,637503
2667,Pallakapalayam Sankari West Post Komarapalayam Taluk Excel College of Architecture and Planning NH- Salem Main Road,Namakkal District,637303
2673,Sree Sakthi Engineering College Bettathapuram Bilichi Village Karamadai,Coimbatore District,641104
2683,Shreenivasa Engineering College B Pallipatti Bommidi Pappireddipatti Taluk,Dharmapuri District,635301
2704,Coimbatore Institute of Engineering and Technolgoy Autonomous Narasipuram,Coimbatore District,641109
2705,CSI College of Engineering Ketti The Nilgiris,The Nilgiris  196 District,643215
2706,Dr. Mahalingam College of Engineering and Technology Autonomous,Coimbatore District,642003
2707,Erode Sengunthar Engineering College Autonomous Thudupathi Post Erode,Erode District,638057
2708,Hindusthan College of Engineering and Technology Autonomous,Coimbatore District,641032
2710,Karpagam College of Engineering Autonomous Othakkalmandapam,Coimbatore District,641032
2711,Kongu Engineering College Autonomous Perundurai,Erode District,638052
2712,Kumaraguru College of Technology Autonomous Chinnavedampatti Post,Coimbatore District,641006
2713,M P Nachimuthu M Jaganathan Engineering College Chennimalai,Erode District,638112
2715,Nandha Engineering College Autonomous Pitchandampalayam Post Erode,Erode District,638052
2716,Park College of Engineering and Technology Kaniyur,Coimbatore District,641659
2717,Sasurie College of Engineering Vijayamangalam,Tiruppur District,638056
2718,Sri Krishna College of Enginering and Technology Autonomous Kuniamuthur,Coimbatore District,641008
2719,Sri Ramakrishna Engineering College Autonomous Vattamalaipalayam,Coimbatore District,641022
2721,Tamilnadu College of Engineering Karumathampatti Post,Coimbatore District,641659
2722,Sri Krishna College of Technology Autonomous Kovaipudur Post Coimbatore,Coimbatore District,641042
2723,Velalar College of Engineering and Technology Autonomous Thindal Post Erode,Erode District,638012
2725,Sri Ramakrishna Institute of Technology Autonomous Pachapalayam,Coimbatore District,641010
2726,SNS College of Technology Autonomous Kalappatti Post,Coimbatore District,641035
2727,Sri Shakthi Institute of Engineering and Technology Autonomous L&T Bye-Pass,Comibatore District,641062
2728,Tamilnadu School of Architecture Tamilnadu College of Engineering Campus,Coimbatore District,641659
2729,Nehru Institute of Engineering and Technology Thirumalayampalayam Post,Coimbatore District,641105
2731,R V S College of Engineering and Technology Kannampalayam Sulur Coimbatore,Coimbatore District,641402
2732,Info Institute of Engineering Sarkar Samakulam,Coimbatore District,641107
2735,Karpagam Institute of Technology Seerapalayam Village L&T By pass Road,Coimbatore District,641021
2736,Dr. N G P Institute of Technology Autonomous Kalapatti Road Coimbatore,Coimbatore District,641035
2737,Sri Sai Ranganathan Engineering College Zahirnaickenpalayam Village Viraliyur,Coimbatore District,641109
2739,Sri Eshwar College of Engineering Autonomous Kondampatti Post Vadasithur,Coimbatore District,641202
2740,Hindusthan Institute of Technology Autonomous Othakkalmandapam,Coimbatore District,641032
2741,P A College of Engineering and Technology Autonomous Palladam Road,Coimbatore District,642002
2743,Dhanalakshmi Srinivasan College of Engineering CBE NH47 Palakkad Main,Coimbatore District,641105
2744,Adithya Institute of Technology Kurumbapalayam Village,Coimbatore District,641107
2745,Kathir College of Engineering Neelambur Avinashi Road,Coimbatore District,641062
2747,Shree Venkateshwara Hi-Tech Engineering College Autonomous Othakuthirai K,Erode District,638455
2748,Surya Engineering College Mettukadai Kathirampatti Post,Erode District,638107
2749,Easa College of Engineering and Technology NH- Coimbatore-Palakkad Main,Coimbatore District,641105
2750,KIT - Kalaignar Karunanidhi Institute of Technology Autonomous,Coimbatore District,641402
2751,KGISL Institute of Technology KGISL Campus Thudiyalur Road Saravanampatti,Coimbatore District,641035
2752,Nandha College of Technology Pitchandampalayam Post,Erode District,638052
2753,PPG Institute of Technology Vilankurichi Village,Coimbatore District,641035
2755,Nehru Institute of Technology Autonomous Thirumalayampalayam Post,Coimbatore District,641105
2758,J K KMunirajah College of Technology T N Palayam Gobi Taluk,Erode District,638506
2761,United Institute of Technology Gadalore Village Perianaickenpalayam,Coimbatore District,641020
2762,Jansons Institute of Technology Karumathampatty Somaur,Coimbatore District,641659
2763,Akshaya College of Engineering and Technology Kinathukadavu Coimbatore,Coimbatore District,642109
2764,K P R Institute of Engineering and Technology Autonomous Kollupalayam,Coimbatore District,641407
2767,SRG Engineering College Aniyapuram Post,Namakkal District,637017
2778,-,Coimbatore District,641402
2779,Ranganathan Architecture College REC Kalvi Nagar Viraliyur Post Thondamuthur,Coimbatore District,641109
3403,Mahalakshmi Engineering College Trichy-Salem Highways Near No. Tollgate,Tiruchirappalli District,621213
3410,Krishnasamy College of Engineering and Technology S Kumarapuram Cuddalore,Cuddalore District,607109
3425,C K College of Engineering and Technology Chellangkuppam,Cuddalore District,607003
3446,Prime College of Architecture and Planning Main Road Kilvelur Nagapattinam,Nagapattinam District,611104
3456,K S K College of Engineering and Technology Thanjavur Main Road Darasuram,Thanjavur District,612702
3460,Surya College of Engineering Konalai,Tiruchirappalli District,621132
3461,Arifa Institute of Technology Formly Haji sheik Ismail Engineering College,Nagapattinam District,611103
3462,Ariyalur Engineering College NH- Trichy-Chithambaram NH Karuppur-,Ariyalur District,621707
3466,Nelliandavar Institute of Technology Nerunjikorai Village Pudhupalayam Ariyalur,Ariyalur District,621704
3467,Prime Nest College of Architecture and Planning V.J.P.Campus Trichy-Chennai,Tiruchirappalli District,621105
3701,K Ramakrishnan College of Technology Autonomous Kariyamanickam Road,Tiruchirappalli District,621112
3760,Sir Issac Newton College of Engineering and Technology Anthanapeetai Post,Nagappattinam District,611102
3766,Star Lion College of Engineering and Technology Manankorai Main Road,Thanjavur District,614206
3782,OASYS Institute of Technology Pulivalam Village Musiri Taluk Tiruchirappalli,Tiruchirappalli District,621006
3783,- M.A.M. School of Architecture Trichy-Chennai Trunk Road Siruganur,Tiruchirappalli District,621105
3784,C.A.R.E School of Architecture No. Thayanur Village Kuttapatti Srirangam,Tiruchirappalli District,620009
3786,M.A.M. School of Engineering Siruganur,Tiruchirappalli District,621105
3795,SRM TRP Engineering College Irungalur Manachanallur Taluk Tiruchirappalli,Tiruchirappalli District,621105
3801,A V C College of Engineering Mannampandal Post,MayiladuthuraiDistrict,609305
3803,Anjalai Ammal Mahalingam Engineering College Kovilvenni,Thiruvarur District,614403
3804,Arasu Engineering College Chennai Main Road Kumbakonam,Thanjavur District,612501
3805,Dhanalakshmi Srinivasan Engineering College Autonomous Thuraiyur Road,Perambalur District,621212
3806,E G S Pillay Engineering College Autonomous,Nagapattinam District,611002
3807,J J College of Engineering and Technology Poolankulathupatti Post,Thiruchirappalli District,620009
3808,Jayaram College of Engineering and Technology Karattampatti,Karattampatti District,621014
3809,Kurinji College of Engineering and Technology Manapparai,Tiruchirappalli District,621307
3810,M.A.M. College of Engineering Siruganur,Tiruchirappalli District,621105
3811,M I E T Engineering College Trichy-Pudukkottai Road,Tiruchirappalli District,620007
3812,Mookambigai College of Engineering Keeranur,Pudukkottai District,622502
3814,P R Engineering College Vallam,Thanjavur District,613403
3815,Pavendar Bharathidasan College of Engineering and Technology Pudukkottai,Tiruchirappalli District,622515
3817,Roever Engineering College Elambalur,Perambalur District,621212
3819,Saranathan College of Engineering Panjappur,Tiruchirappalli District,620012
3820,Trichy Engineering College Konalai,Tiruchirappalli District,621132
3821,A R J College of Engineering and Technology Mannargudi Taluk Thiruvarur,Thiruvarur District,614001
3822,Dr.NavalarNedunchezhiyan College of,286 Dr.NavalarNedunchezhiyan College of District,606303
3825,St. Joseph's College of Engineering and Technology Elupatti Village Rawaspatti,Thanjavur District,613403
3826,Kongunadu College of Engineering and Technology Autonomous Tholurpatti,Tiruchirappalli District,621215
3829,M.A.M. College of Engineering and Technology Trichy-Chennai Trunk Road,Tiruchirappalli District,621105
3830,K Ramakrishnan College of Engineering Autonomous Kariyamanickam Road,Tiruchirappalli District,621112
3831,Indra Ganesan College of Engineering Madurai Main Road Manikandam,Tiruchirappalli District,620012
3833,Parisutham Institute of Technology and Science Ring Road Nanjikottai Thanjavur,Thanjavur District,613006
3841,Village Thayanoor Village Kuttappatti Srirangam Taluk CARE College of Engineering Formerly C.A.R.E Group of Institutions Thayanoor,Tiruchirappalli District,620009
3843,M R K Institute of Technology Nattarmangalam Village Kattumannarkoil,Cuddalore District,608306
3844,Shivani Engineering College Trichy-Dindigul NH Road Poolangulathupatti,Poolangulathupatti District,620009
3845,Imayam College of Engineering Kannanur Thuraiyur,Tiruchirappalli District,621206
3846,Mother Terasa College of Engineering and Technology Mettusalai Post and Taluk,Pudukkottai District,622102
3848,- Vandayar Engineering College Pulavarnatham Post Mariamman Koil Via,Thanjavur District,613001
